Year,Team,Batting_R/G,Batting_G,Pitching_W,Pitching_L,Pitching_W-L%,Batting_BA,Batting_OBP,Batting_SLG,Batting_OPS,Pitching_ERA,Pitching_RA9,Pitching_WHIP,FIP,Batting_BatAge,Batting_PA,Batting_AB,Batting_R,Batting_H,Batting_2B,Batting_3B,Batting_HR,Batting_RBI,Batting_SB,Batting_CS,Batting_BB,Batting_SO,Batting_TB,Batting_HBP,Batting_SH,Batting_SF,Pitching_PAge,Pitching_R/G,Pitching_G,Pitching_GS,Pitching_GF,Pitching_CG,Pitching_SV,Pitching_IP,Pitching_H,Pitching_R,Pitching_ER,Pitching_HR,Pitching_BB,Pitching_SO,Pitching_H9,Pitching_HR9,Pitching_BB9,Pitching_SO9,Pitching_SO/W,Pitching_IP_decimal
2022,New York Boulders,7.42,95,56,37,0.602,0.292,0.38,0.501,0.88,5.22,6.11,1.508,5.042,25.2,3872,3324,705,970,214,18,148,643,110,24,409,774,1664,88,8,43,25.3,5.93,95,95,92,3,22,829.2,903,563,481,95,348,705,9.8,1,3.8,7.6,2.03,829.6666666666666
2022,Ottawa Titans,5.78,95,56,38,0.596,0.281,0.373,0.424,0.797,4.39,5.23,1.385,4.776,24.9,3737,3171,549,892,157,20,85,501,115,37,387,673,1344,101,37,41,26.8,5.02,95,95,91,4,25,820.2,856,477,400,98,281,738,9.4,1.1,3.1,8.1,2.63,820.6666666666666
2022,Schaumburg Boomers,5.56,96,53,43,0.552,0.266,0.37,0.427,0.797,4.34,5.16,1.354,4.37,26.5,3800,3208,534,852,152,41,95,490,123,25,442,790,1371,102,26,22,25.8,5,96,96,94,2,23,837,826,480,404,95,307,921,8.9,1,3.3,9.9,3,837
2022,Sussex County Miners,5.59,95,54,41,0.568,0.26,0.363,0.394,0.757,4.09,5.31,1.392,4.533,26,3621,3016,531,784,158,12,74,482,203,50,448,819,1188,64,53,40,25.9,5.04,95,95,87,8,22,811.1,834,479,369,86,295,783,9.3,1,3.3,8.7,2.65,811.3333333333334
2022,Tri-City Valley Cats,6.57,95,54,41,0.568,0.288,0.366,0.507,0.872,5.84,6.69,1.509,5.175,26.7,3680,3223,624,927,202,9,162,581,113,34,366,693,1633,51,3,37,25.8,6.35,95,95,94,1,16,810.2,875,603,526,113,348,778,9.7,1.3,3.9,8.6,2.24,810.6666666666666
2022,Washington WildThings,5.94,96,62,34,0.646,0.284,0.371,0.441,0.812,4.08,4.46,1.321,4.551,25.2,3793,3261,570,927,168,21,100,515,119,46,406,773,1437,65,25,36,25.1,4.39,96,96,96,0,27,848.2,805,421,385,80,316,758,8.5,0.8,3.4,8,2.4,848.6666666666666
2022,Windy City ThunderBolts,4.82,95,33,62,0.347,0.241,0.329,0.394,0.723,5.34,6.27,1.6,4.903,24.4,3626,3164,458,763,152,19,98,424,165,47,351,948,1247,75,11,25,25,6.08,95,95,93,2,15,829.1,945,578,492,93,382,801,10.3,1,4.1,8.7,2.1,829.3333333333334
2023,Aigles de Trois-Rivières,5.48,95,38,56,0.404,0.277,0.356,0.419,0.775,6.3,7.26,1.743,5.664,26.7,3683,3210,521,890,179,18,80,484,84,34,340,644,1345,70,31,32,25.7,6.93,95,95,92,3,11,816,984,658,571,117,438,698,10.9,1.3,4.8,7.7,1.59,816
2023,Capitales de Québec,5.72,95,61,33,0.649,0.259,0.364,0.433,0.797,4.24,4.75,1.413,4.813,26.4,3666,3090,543,799,145,14,122,505,97,33,435,759,1338,96,13,32,25.4,4.6,95,95,95,0,27,827.1,813,437,390,89,356,735,8.8,1,3.9,8,2.06,827.3333333333334
2023,Empire State Greys,4.02,95,18,77,0.189,0.241,0.313,0.36,0.673,7.39,8.19,1.857,6.321,25,3529,3153,382,759,124,17,73,356,83,29,284,874,1136,57,9,26,24.4,7.36,95,95,92,3,8,768.1,943,699,631,128,484,628,11,1.5,5.7,7.4,1.3,768.3333333333334
2023,Evansville Otters,5.51,96,52,44,0.542,0.264,0.353,0.421,0.774,4.07,4.67,1.358,4.28,25.4,3769,3247,529,857,182,27,91,478,172,35,345,806,1366,123,18,36,25.1,4.56,96,96,95,1,21,843.1,760,438,381,69,385,866,8.1,0.7,4.1,9.2,2.25,843.3333333333334
2023,Florence Y'Alls,5.39,96,38,58,0.396,0.265,0.367,0.401,0.767,5.88,6.6,1.62,5.278,25.6,3767,3172,517,842,159,12,82,475,150,48,437,739,1271,88,40,30,25.7,6.34,96,96,93,3,13,831,899,609,543,102,447,761,9.7,1.1,4.8,8.2,1.7,831
